record_type,record_id,textbook_id,lesson_key,word,pinyin,pattern,expression,meaning_en_source,meaning_vi,meaning_vi_status
vocabulary,boya-elementary-i:喂:wei,boya-elementary-i,,喂,wei,,,hello （used to answer phone）,a-lô (khi nghe điện thoại),translated_subagent_draft
vocabulary,boya-elementary-i:太:tai,boya-elementary-i,,太,tai,,,too; much too,quá; rất,translated_subagent_draft
vocabulary,boya-elementary-i:问:wen,boya-elementary-i,,问,wen,,,to ask,hỏi,translated_subagent_draft
vocabulary,boya-elementary-i:趟:tang,boya-elementary-i,,趟,tang,,,measure word （for trips）,chuyến (lượng từ lượt đi),translated_subagent_draft
vocabulary,boya-elementary-i:问题:wenti,boya-elementary-i,,问题,wenti,,,question,câu hỏi; vấn đề,translated_subagent_draft
vocabulary,boya-elementary-i:特别:tebie,boya-elementary-i,,特别,tebie,,,especially; particularly,đặc biệt,translated_subagent_draft
vocabulary,boya-elementary-i:我:wo,boya-elementary-i,,我,wO,,,L;me,tôi; mình,translated_subagent_draft
vocabulary,boya-elementary-i:提前:tiqian,boya-elementary-i,,提前,tiqian,,,,sớm hơn; trước thời hạn,translated_subagent_draft
vocabulary,boya-elementary-i:我们:women,boya-elementary-i,,我们,women,,,We; US,chúng tôi; chúng ta,translated_subagent_draft
vocabulary,boya-elementary-i:体温:tiwen,boya-elementary-i,,体温,tiwen,,,temperature,thân nhiệt,translated_subagent_draft
vocabulary,boya-elementary-i:天气:tianqi,boya-elementary-i,,天气,tianqi,,,weather,thời tiết,translated_subagent_draft
vocabulary,boya-elementary-i:天气预报:tianqiyubao,boya-elementary-i,,天气预报,tianqi yubao,,,weather forecast,dự báo thời tiết,translated_subagent_draft
vocabulary,boya-elementary-i:西瓜:xigua,boya-elementary-i,,西瓜,xigua,,,watermelon,dưa hấu,translated_subagent_draft
vocabulary,boya-elementary-i:听:ting,boya-elementary-i,,听,ting,,,to obey,nghe,translated_subagent_draft
vocabulary,boya-elementary-i:习惯:xiguan,boya-elementary-i,,习惯,xiguan,,,to be used to,quen; thói quen,translated_subagent_draft
vocabulary,boya-elementary-i:听说:tingshuo,boya-elementary-i,,听说,tingshuo,,,to hear of,nghe nói,translated_subagent_draft
vocabulary,boya-elementary-i:洗:xi,boya-elementary-i,,洗,xi,,,to wash,rửa; giặt,translated_subagent_draft
vocabulary,boya-elementary-i:听写:tingxie,boya-elementary-i,,听写,tingxie,,,to have a dictation,nghe viết; chính tả,translated_subagent_draft
vocabulary,boya-elementary-i:喜欢:xihuan,boya-elementary-i,,喜欢,xihuan,,,to like,thích,translated_subagent_draft
vocabulary,boya-elementary-i:停:ting,boya-elementary-i,,停,ting,,,to stop,dừng; đỗ,translated_subagent_draft
vocabulary,boya-elementary-i:下:xid,boya-elementary-i,,下,xid,,,next,tiếp theo; dưới,translated_subagent_draft
vocabulary,boya-elementary-i:挺:ting,boya-elementary-i,,挺,ting,,,very,khá; rất,translated_subagent_draft
vocabulary,boya-elementary-i:下（雨）:xiayu,boya-elementary-i,,下（雨）,xia (yu),,,to fall,mưa; rơi (mưa),translated_subagent_draft
vocabulary,boya-elementary-i:同屋:tongwu,boya-elementary-i,,同屋,tongwu,,,roommate used at the end of a special，,bạn cùng phòng,translated_subagent_draft
vocabulary,boya-elementary-i:下课:xidke,boya-elementary-i,,下课,xid ke,,,to finish class,tan học,translated_subagent_draft
vocabulary,boya-elementary-i:同学:tongxue,boya-elementary-i,,同学,tongxue,,,classmate,bạn học,translated_subagent_draft
vocabulary,boya-elementary-i:下午:xidwu,boya-elementary-i,,下午,xidwu,,,afternoon,buổi chiều,translated_subagent_draft
vocabulary,boya-elementary-i:头疼:touteng,boya-elementary-i,,头疼,touteng,,,headache,đau đầu,translated_subagent_draft
vocabulary,boya-elementary-i:下载:xiazai,boya-elementary-i,,下载,xiazai,,,to download,tải xuống,translated_subagent_draft
vocabulary,boya-elementary-i:夏天:xiatian,boya-elementary-i,,夏天,xiatian,,,summer,mùa hè,translated_subagent_draft
vocabulary,boya-elementary-i:先:xian,boya-elementary-i,,先,xian,,,first,trước; trước hết,translated_subagent_draft
vocabulary,boya-elementary-i:外边:waibian,boya-elementary-i,,外边,waibian,,,outside,bên ngoài,translated_subagent_draft
vocabulary,boya-elementary-i:先生:xiansheng,boya-elementary-i,,先生,xiansheng,,,Sir,ông; ngài,translated_subagent_draft
vocabulary,boya-elementary-i:外卖:waimai,boya-elementary-i,,外卖,waimai,,,takeout,đồ ăn giao tận nơi,translated_subagent_draft
vocabulary,boya-elementary-i:现金:xidnjin,boya-elementary-i,,现金,xidnjin,,,cash,tiền mặt,translated_subagent_draft
vocabulary,boya-elementary-i:玩儿:wanr,boya-elementary-i,,玩儿,wanr,,,to play,chơi,translated_subagent_draft
vocabulary,boya-elementary-i:现在:xianzai,boya-elementary-i,,现在,xianzai,,,now,bây giờ; hiện tại,translated_subagent_draft
vocabulary,boya-elementary-i:晚:wan,boya-elementary-i,,晚,wan,,,late,muộn; tối,translated_subagent_draft
vocabulary,boya-elementary-i:线:xian,boya-elementary-i,,线,xian,,,line,dòng; tuyến,translated_subagent_draft
vocabulary,boya-elementary-i:晚会:wanhui,boya-elementary-i,,晚会,wanhui,,,evening party,buổi liên hoan tối,translated_subagent_draft
vocabulary,boya-elementary-i:馅儿:xianr,boya-elementary-i,,馅儿,xianr,,,filling; stuffing,nhân (bánh),translated_subagent_draft
vocabulary,boya-elementary-i:晚上:wanshang,boya-elementary-i,,晚上,wanshang,,,night; evening,buổi tối,translated_subagent_draft
vocabulary,boya-elementary-i:香蕉:xiangjido,boya-elementary-i,,香蕉,xiangjido,,,banana,chuối,translated_subagent_draft
vocabulary,boya-elementary-i:碗:wan,boya-elementary-i,,碗,wan,,,bowl,bát,translated_subagent_draft
vocabulary,boya-elementary-i:想:xidng,boya-elementary-i,,想,xidng,,,to want,muốn; nghĩ,translated_subagent_draft
vocabulary,boya-elementary-i:往:wding,boya-elementary-i,,往,wding,,,to; towards,hướng về; về phía,translated_subagent_draft
vocabulary,boya-elementary-i:想家:xiangjia,boya-elementary-i,,想家,xiang jia,,,to be homesick,nhớ nhà,translated_subagent_draft
vocabulary,boya-elementary-i:忘:wang,boya-elementary-i,,忘,wang,,,to forget,quên,translated_subagent_draft
vocabulary,boya-elementary-i:小时:xiaoshi,boya-elementary-i,,小时,xiaoshi,,,hour,giờ; tiếng,translated_subagent_draft
vocabulary,boya-elementary-i:一起:yiai,boya-elementary-i,,一起,yiai,,,together,cùng nhau,translated_subagent_draft
vocabulary,boya-elementary-i:辛苦:xinku,boya-elementary-i,,辛苦,xinku,,,hard; toilsome; laborious,vất vả; cực nhọc,translated_subagent_draft
vocabulary,boya-elementary-i:一下儿:yixiar,boya-elementary-i,,一下儿,yixiar,,,used after a verb to indicate a brief action,một chút; một lát (sau động từ),translated_subagent_draft
vocabulary,boya-elementary-i:新:xin,boya-elementary-i,,新,xin,,,new,mới,translated_subagent_draft
vocabulary,boya-elementary-i:一些:yixie,boya-elementary-i,,一些,yixie,,,some,một vài; một ít,translated_subagent_draft
vocabulary,boya-elementary-i:星期六:xingqiliu,boya-elementary-i,,星期六,xingqiliu,,,Saturday,thứ bảy,translated_subagent_draft
vocabulary,boya-elementary-i:一直:vizhi,boya-elementary-i,,一直,vizhi,,,always; all along,luôn luôn; suốt,translated_subagent_draft
vocabulary,boya-elementary-i:行:xing,boya-elementary-i,,行,xing,,,to be all right;OK,được; ổn,translated_subagent_draft
vocabulary,boya-elementary-i:衣服:yifu,boya-elementary-i,,衣服,yifu,,,clothes,quần áo,translated_subagent_draft
vocabulary,boya-elementary-i:姓:xing,boya-elementary-i,,姓,xing,,,to be surnamed,mang họ; họ,translated_subagent_draft
vocabulary,boya-elementary-i:医院:viyuan,boya-elementary-i,,医院,viyuan,,,hospital,bệnh viện,translated_subagent_draft
vocabulary,boya-elementary-i:休息:xiuxi,boya-elementary-i,,休息,xiuxi,,,to rest,nghỉ ngơi,translated_subagent_draft
vocabulary,boya-elementary-i:已经:yijing,boya-elementary-i,,已经,yijing,,,already,đã; rồi,translated_subagent_draft
vocabulary,boya-elementary-i:修:xiu,boya-elementary-i,,修,xiu,,,to repair,sửa chữa,translated_subagent_draft
vocabulary,boya-elementary-i:以后:yihou,boya-elementary-i,,以后,yihou,,,later on; afterwards,sau này; về sau,translated_subagent_draft
vocabulary,boya-elementary-i:选:xuan,boya-elementary-i,,选,xuan,,,to select; to choose,chọn; lựa chọn,translated_subagent_draft
vocabulary,boya-elementary-i:以前:yiqian,boya-elementary-i,,以前,yiqian,,,before,trước đây; trước khi,translated_subagent_draft
vocabulary,boya-elementary-i:学:xue,boya-elementary-i,,学,xue,,,to leamn; to study,học,translated_subagent_draft
vocabulary,boya-elementary-i:意见:yijian,boya-elementary-i,,意见,yijian,,,suggestion;opinion,ý kiến; đề xuất,translated_subagent_draft
vocabulary,boya-elementary-i:学期:xueqi,boya-elementary-i,,学期,Xueqi,,,semester,học kỳ,translated_subagent_draft
vocabulary,boya-elementary-i:因为:yinwei,boya-elementary-i,,因为,yinwei,,,,bởi vì; vì,translated_subagent_draft
vocabulary,boya-elementary-i:学生:xuesheng,boya-elementary-i,,学生,xuesheng,,,student,học sinh; sinh viên,translated_subagent_draft
vocabulary,boya-elementary-i:阴:yin,boya-elementary-i,,阴,yin,,,cloudy,âm u; nhiều mây,translated_subagent_draft
vocabulary,boya-elementary-i:学校:xuexido,boya-elementary-i,,学校,xuexido,,,school,trường học,translated_subagent_draft
vocabulary,boya-elementary-i:阴天:yintian,boya-elementary-i,,阴天,yintian,,,Cloudy day,ngày nhiều mây,translated_subagent_draft
vocabulary,boya-elementary-i:雪:xue,boya-elementary-i,,雪,xue,,,snow,tuyết,translated_subagent_draft
vocabulary,boya-elementary-i:应该:yinggai,boya-elementary-i,,应该,yinggai,,,Should; ought to,nên; cần phải,translated_subagent_draft
vocabulary,boya-elementary-i:赢:ying,boya-elementary-i,,赢,ying,,,to win,thắng,translated_subagent_draft
vocabulary,boya-elementary-i:研究生:yanjiusheng,boya-elementary-i,,研究生,yanjiusheng,,,geraduate student,học viên cao học,translated_subagent_draft
vocabulary,boya-elementary-i:用功:yonggong,boya-elementary-i,,用功,yonggong,,,"dilgent, hard-working in one's studies",chăm học; chịu khó học,translated_subagent_draft
vocabulary,boya-elementary-i:颜色:yanse,boya-elementary-i,,颜色,yanse,,,color,màu sắc,translated_subagent_draft
vocabulary,boya-elementary-i:游戏:youxi,boya-elementary-i,,游戏,youxi,,,game,trò chơi,translated_subagent_draft
vocabulary,boya-elementary-i:样子:yangzi,boya-elementary-i,,样子,yangzi,,,appearance; shape,dáng vẻ; kiểu dáng,translated_subagent_draft
vocabulary,boya-elementary-i:有:you,boya-elementary-i,,有,yǒu,,,to have,có,translated_subagent_draft
vocabulary,boya-elementary-i:药:yao,boya-elementary-i,,药,yao,,,medicine,thuốc,translated_subagent_draft
vocabulary,boya-elementary-i:有的:youde,boya-elementary-i,,有的,yǒude,,,some,một số; có người/cái,translated_subagent_draft
vocabulary,boya-elementary-i:要:yao,boya-elementary-i,,要,yao,,,to want （something） 6g,muốn; cần,translated_subagent_draft
vocabulary,boya-elementary-i:有点儿:youdianr,boya-elementary-i,,有点儿,youdianr,,,a litte; a bit,hơi; có một chút,translated_subagent_draft
vocabulary,boya-elementary-i:有意思:youyisi,boya-elementary-i,,有意思,you yisi,,,interesting,thú vị,translated_subagent_draft
vocabulary,boya-elementary-i:要是:yaoshi,boya-elementary-i,,要是,yaoshi,,,if,nếu mà,translated_subagent_draft
vocabulary,boya-elementary-i:也:ye,boya-elementary-i,,也,ye,,,also: too,cũng,translated_subagent_draft
vocabulary,boya-elementary-i:又:you,boya-elementary-i,,又,you,,,,lại; vừa… vừa…,translated_subagent_draft
vocabulary,boya-elementary-i:右边:youbian,boya-elementary-i,,右边,youbian,,,the right side,bên phải,translated_subagent_draft
vocabulary,boya-elementary-i:夜里:yeli,boya-elementary-i,,夜里,yeli,,,night,ban đêm,translated_subagent_draft
vocabulary,boya-elementary-i:雨:yi,boya-elementary-i,,雨,yi,,,rain,mưa,translated_subagent_draft
vocabulary,boya-elementary-i:一般:yiban,boya-elementary-i,,一般,yiban,,,generally; commonly,thường; nói chung,translated_subagent_draft
vocabulary,boya-elementary-i:雨季:ygj,boya-elementary-i,,雨季,yGj,,,rainy season,mùa mưa,translated_subagent_draft
vocabulary,boya-elementary-i:一点儿:yididnr,boya-elementary-i,,一点儿,yididnr,,,a litte bit,một chút,translated_subagent_draft
vocabulary,boya-elementary-i:一定:yiding,boya-elementary-i,,一定,yiding,,,certainly,nhất định; chắc chắn,translated_subagent_draft
vocabulary,boya-elementary-i:语法:yufa,boya-elementary-i,,语法,yǔfǎ,,,grammar,ngữ pháp,translated_subagent_draft
vocabulary,boya-elementary-i:一共:yigong,boya-elementary-i,,一共,yigong,,,in total,tổng cộng,translated_subagent_draft
vocabulary,boya-elementary-i:远:yudn,boya-elementary-i,,远,yudn,,,far,xa,translated_subagent_draft
vocabulary,boya-elementary-i:一会儿:yihuir,boya-elementary-i,,一会儿,yihuir,,,after a while; a little while,một lát nữa; một lúc,translated_subagent_draft
vocabulary,boya-elementary-i:约:yue,boya-elementary-i,,约,yue,,,month,hẹn (với ai đó),translated_subagent_draft
vocabulary,boya-elementary-i:月:yue,boya-elementary-i,,月,YUe,,,,tháng,translated_subagent_draft
vocabulary,boya-elementary-i:猪肉:zhurou,boya-elementary-i,,猪肉,zhurou,,,pork,thịt lợn,translated_subagent_draft
vocabulary,boya-elementary-i:主意:zhuyi,boya-elementary-i,,主意,zhuyi,,,idea,ý kiến; ý tưởng,translated_subagent_draft
vocabulary,boya-elementary-i:再:zai,boya-elementary-i,,再,Zai,,,again; once more; further,lại; thêm; nữa,translated_subagent_draft
vocabulary,boya-elementary-i:住:zhu,boya-elementary-i,,住,zhu,,,to live,sống; ở,translated_subagent_draft
vocabulary,boya-elementary-i:在:zai,boya-elementary-i,,在,Zai,,,to be at （in）,ở; tại; đang,translated_subagent_draft
vocabulary,boya-elementary-i:祝:zhu,boya-elementary-i,,祝,zhu,,,to wish,chúc,translated_subagent_draft
vocabulary,boya-elementary-i:咱们:zanmen,boya-elementary-i,,咱们,zanmen,,,"We, uS",chúng ta,translated_subagent_draft
vocabulary,boya-elementary-i:专业:zhuanye,boya-elementary-i,,专业,zhuanye,,,major,chuyên ngành,translated_subagent_draft
vocabulary,boya-elementary-i:怎么:zenme,boya-elementary-i,,怎么,zenme,,,how,thế nào; làm sao,translated_subagent_draft
vocabulary,boya-elementary-i:准备:zhunbei,boya-elementary-i,,准备,zhunbei,,,to prepare,chuẩn bị,translated_subagent_draft
vocabulary,boya-elementary-i:怎么样:zenmeyang,boya-elementary-i,,怎么样,zenmeyang,,,how,thế nào,translated_subagent_draft
vocabulary,boya-elementary-i:字:zi,boya-elementary-i,,字,Zi,,,character,chữ,translated_subagent_draft
vocabulary,boya-elementary-i:展览:zhanlan,boya-elementary-i,,展览,zhanlan,,,exhibition,triển lãm,translated_subagent_draft
vocabulary,boya-elementary-i:自己:zijy,boya-elementary-i,,自己,ZijY,,,,bản thân; tự mình,translated_subagent_draft
vocabulary,boya-elementary-i:张开:zhangkai,boya-elementary-i,,张开,zhang kai,,,to open,mở ra; dang ra,translated_subagent_draft
vocabulary,boya-elementary-i:自行车:zixingche,boya-elementary-i,,自行车,zixingche,,,bike,xe đạp,translated_subagent_draft
vocabulary,boya-elementary-i:长:zhang,boya-elementary-i,,长,zhang,,,to grow,lớn lên; mọc dài,translated_subagent_draft
vocabulary,boya-elementary-i:走:zou,boya-elementary-i,,走,zOu,,,to walk; to leave,đi; rời đi,translated_subagent_draft
vocabulary,boya-elementary-i:着急:zhaoji,boya-elementary-i,,着急,zhaoji,,,anxious,lo lắng; sốt ruột,translated_subagent_draft
vocabulary,boya-elementary-i:走路:zoul,boya-elementary-i,,走路,zou l,,,on toot,đi bộ,translated_subagent_draft
vocabulary,boya-elementary-i:找:zhdo,boya-elementary-i,,找,zhdo,,,to look for,tìm,translated_subagent_draft
vocabulary,boya-elementary-i:嘴:zui,boya-elementary-i,,嘴,Zui,,,mouth to write （prescript; sick,miệng,translated_subagent_draft
vocabulary,boya-elementary-i:照片:zhdopian,boya-elementary-i,,照片,zhdopian,,,photo,ảnh; bức ảnh,translated_subagent_draft
vocabulary,boya-elementary-i:最:zui,boya-elementary-i,,最,Zui,,,most,nhất,translated_subagent_draft
vocabulary,boya-elementary-i:这:zhe,boya-elementary-i,,这,zhe,,,this,này; đây,translated_subagent_draft
vocabulary,boya-elementary-i:最好:zuihdo,boya-elementary-i,,最好,zuihdo,,,"had better, it would be best",tốt nhất; nên,translated_subagent_draft
vocabulary,boya-elementary-i:这么:zheme,boya-elementary-i,,这么,zheme,,,,như thế này; đến mức này,translated_subagent_draft
vocabulary,boya-elementary-i:最近:zuijin,boya-elementary-i,,最近,zuijin,,,recently,gần đây,translated_subagent_draft
vocabulary,boya-elementary-i:这儿:zher,boya-elementary-i,,这儿,zher,,,here,ở đây,translated_subagent_draft
vocabulary,boya-elementary-i:醉:zui,boya-elementary-i,,醉,Zui,,,to be drunk,say rượu,translated_subagent_draft
vocabulary,boya-elementary-i:这样:zheyang,boya-elementary-i,,这样,zheyang,,,like this; this way,như thế này; cách này,translated_subagent_draft
vocabulary,boya-elementary-i:昨天:zuotian,boya-elementary-i,,昨天,zuotian,,,yesterday,hôm qua,translated_subagent_draft
vocabulary,boya-elementary-i:真:zhen,boya-elementary-i,,真,zhen,,,really,thật; rất,translated_subagent_draft
vocabulary,boya-elementary-i:左边:zuobian,boya-elementary-i,,左边,zuObian,,,the left side,bên trái,translated_subagent_draft
vocabulary,boya-elementary-i:正在:zhengzai,boya-elementary-i,,正在,zhengzai,,,in the course of,đang,translated_subagent_draft
vocabulary,boya-elementary-i:作业:zuoye,boya-elementary-i,,作业,zuoye,,,homework,bài tập,translated_subagent_draft
vocabulary,boya-elementary-i:只:zhi,boya-elementary-i,,只,Zhi,,,measure word,con; chiếc (lượng từ),translated_subagent_draft
vocabulary,boya-elementary-i:坐:zuo,boya-elementary-i,,坐,ZUO,,,"to take （acar, a plane..） to ride",ngồi; đi (xe/máy bay),translated_subagent_draft
vocabulary,boya-elementary-i:知道:zhidao,boya-elementary-i,,知道,zhidao,,,to know,biết,translated_subagent_draft
vocabulary,boya-elementary-i:座位:zuowei,boya-elementary-i,,座位,zuOwei,,,seat,chỗ ngồi,translated_subagent_draft
vocabulary,boya-elementary-i:做:zuo,boya-elementary-i,,做,ZUO,,,to do,làm,translated_subagent_draft
vocabulary,boya-elementary-i:质量:zhiliang,boya-elementary-i,,质量,zhiliang,,,quality,chất lượng,translated_subagent_draft
vocabulary,boya-elementary-i:做菜:zuocai,boya-elementary-i,,做菜,zuO cai,,,to cOoK,nấu ăn,translated_subagent_draft
vocabulary,boya-elementary-i:中午:zhongwu,boya-elementary-i,,中午,zhongwu,,,noon,buổi trưa,translated_subagent_draft
vocabulary,boya-elementary-i:种:zhong,boya-elementary-i,,种,zhong,,,kind,loại; giống,translated_subagent_draft
vocabulary,boya-elementary-i:澳大利亚:aodaliya,boya-elementary-i,,澳大利亚,Aodaliya,,,Australia,Úc,translated_subagent_draft
vocabulary,boya-elementary-i:日语:riyi,boya-elementary-i,,日语,Riyi,,,Japanese,tiếng Nhật,translated_subagent_draft
vocabulary,boya-elementary-i:北京大学:beijingdaxue,boya-elementary-i,,北京大学,Beijing Daxue,,,Peking Unversity,Đại học Bắc Kinh,translated_subagent_draft
vocabulary,boya-elementary-i:圣诞节:shengdanjie,boya-elementary-i,,圣诞节,Shengdan Jie,,,Christmas,Giáng sinh,translated_subagent_draft
vocabulary,boya-elementary-i:长城:changcheng,boya-elementary-i,,长城,Changcheng,,,the Great wall,Vạn Lý Trường Thành,translated_subagent_draft
vocabulary,boya-elementary-i:泰国:taiguo,boya-elementary-i,,泰国,Taiguo,,,Thailand,Thái Lan,translated_subagent_draft
vocabulary,boya-elementary-i:国庆节:guoqingjie,boya-elementary-i,,国庆节,Guoqing Jie,,,National Day,Quốc khánh,translated_subagent_draft
vocabulary,boya-elementary-i:王:wang,boya-elementary-i,,王,wang,,,a Chinese surname,Vương (họ Trung Quốc),translated_subagent_draft
vocabulary,boya-elementary-i:韩国:hanguo,boya-elementary-i,,韩国,Hanguo,,,The Republic of Korea,Hàn Quốc,translated_subagent_draft
vocabulary,boya-elementary-i:西安:xian,boya-elementary-i,,西安,Xian,,,Xi'an （capital of Shaanxi Province）,Tây An,translated_subagent_draft
vocabulary,boya-elementary-i:韩语:hanyi,boya-elementary-i,,韩语,Hanyi,,,Korean,tiếng Hàn,translated_subagent_draft
vocabulary,boya-elementary-i:汉语:hanyu,boya-elementary-i,,汉语,Hanyu,,,Chinese language,tiếng Hán; tiếng Trung,translated_subagent_draft
vocabulary,boya-elementary-i:华山:huashan,boya-elementary-i,,华山,Hua Shan,,,Hua Mountain,núi Hoa Sơn,translated_subagent_draft
vocabulary,boya-elementary-i:英国:yingguo,boya-elementary-i,,英国,Yingguo,,,the United Kingdom,Vương quốc Anh,translated_subagent_draft
vocabulary,boya-elementary-i:英语:yingyu,boya-elementary-i,,英语,Yingyu,,,English,tiếng Anh,translated_subagent_draft
vocabulary,boya-elementary-i:云南:yunnan,boya-elementary-i,,云南,Yunnan,,,Yunnan Province,Vân Nam,translated_subagent_draft
vocabulary,boya-elementary-i:李:ly,boya-elementary-i,,李,LY,,,a Chinese surname,Lý (họ Trung Quốc),translated_subagent_draft
vocabulary,boya-elementary-i:中国:zhongguo,boya-elementary-i,,中国,Zhongguo,,,China,Trung Quốc,translated_subagent_draft
vocabulary,boya-elementary-i:美国:meiguo,boya-elementary-i,,美国,Meiguo,,,the United States,Hoa Kỳ; Mỹ,translated_subagent_draft
vocabulary,boya-elementary-i:中文:zhongwen,boya-elementary-i,,中文,Zhongwen,,,Chinese,tiếng Trung; chữ Hán,translated_subagent_draft
vocabulary,boya-elementary-i:才:cai,boya-elementary-i,,才,cái,,,,mới; chỉ,translated_subagent_draft
vocabulary,boya-elementary-i:从……到……:congdao,boya-elementary-i,,从……到……,cóng……dào……,,,,từ… đến…,translated_subagent_draft
vocabulary,boya-elementary-i:的:de,boya-elementary-i,,的,de,,,,của; (trợ từ định ngữ),translated_subagent_draft
vocabulary,boya-elementary-i:带:dai,boya-elementary-i,,带,dài,,,to bring,mang; đem theo,translated_subagent_draft
vocabulary,boya-elementary-i:对……来说:duilaishuo,boya-elementary-i,,对……来说,duì……lái shuō,,,,đối với… mà nói,translated_subagent_draft
vocabulary,boya-elementary-i:量:liang,boya-elementary-i,,量,liàng,,,to measure,đo; số lượng,translated_subagent_draft
vocabulary,boya-elementary-ii:比:bi,boya-elementary-ii,,比,bǐ,,,compare; than,so với; hơn,translated_subagent_draft
vocabulary,boya-elementary-ii:比如说:birushuo,boya-elementary-ii,,比如说,birushuo,,,for example,ví dụ như; chẳng hạn,translated_subagent_draft
vocabulary,boya-elementary-ii:哎呀:diya,boya-elementary-ii,,哎呀,diya,,,"oh, my God",ôi chao; trời ơi,translated_subagent_draft
vocabulary,boya-elementary-ii:比赛:bisai,boya-elementary-ii,,比赛,bisai,,,competition; match,cuộc thi; trận đấu,translated_subagent_draft
vocabulary,boya-elementary-ii:安静:dinjing,boya-elementary-ii,,安静,dinjing,,,quiet,yên tĩnh,translated_subagent_draft
vocabulary,boya-elementary-ii:笔:by,boya-elementary-ii,,笔,bY,,,,bút,translated_subagent_draft
vocabulary,boya-elementary-ii:安排:anpai,boya-elementary-ii,,安排,anpai,,,to arrange,sắp xếp; bố trí,translated_subagent_draft
vocabulary,boya-elementary-ii:毕业:biye,boya-elementary-ii,,毕业,biye,,,to graduate,tốt nghiệp,translated_subagent_draft
vocabulary,boya-elementary-ii:按:an,boya-elementary-ii,,按,an,,,according to,theo; căn cứ theo,translated_subagent_draft
vocabulary,boya-elementary-ii:闭:bi,boya-elementary-ii,,闭,bi,,,to close,đóng; nhắm lại,translated_subagent_draft
vocabulary,boya-elementary-ii:变化:bianhud,boya-elementary-ii,,变化,bianhud,,,Change,sự thay đổi; thay đổi,translated_subagent_draft
vocabulary,boya-elementary-ii:把:ba,boya-elementary-ii,,把,ba,,,showing the influence on sb. or sth.， or how sth. is dealt with,đưa tân ngữ lên trước để nói cách xử lý hoặc tác động lên sự vật,translated_subagent_draft
vocabulary,boya-elementary-ii:遍:bian,boya-elementary-ii,,遍,bian,,,measure word （for time in repetition）,lần; lượng từ cho số lượt làm trọn một việc,translated_subagent_draft
vocabulary,boya-elementary-ii:摆:bai,boya-elementary-ii,,摆,bai,,,to lay; to set,bày; đặt; xếp,translated_subagent_draft
vocabulary,boya-elementary-ii:表现:bidoxian,boya-elementary-ii,,表现,bidoxian,,,to perform,thể hiện; biểu hiện,translated_subagent_draft
vocabulary,boya-elementary-ii:搬:ban,boya-elementary-ii,,搬,ban,,,to move,chuyển; di chuyển đồ đạc,translated_subagent_draft
vocabulary,boya-elementary-ii:宾馆:binguan,boya-elementary-ii,,宾馆,binguan,,,hotel,khách sạn,translated_subagent_draft
vocabulary,boya-elementary-ii:搬家:banjia,boya-elementary-ii,,搬家,ban jia,,,to move house,chuyển nhà,translated_subagent_draft
vocabulary,boya-elementary-ii:不但:budan,boya-elementary-ii,,不但,budan,,,not only,không những,translated_subagent_draft
vocabulary,boya-elementary-ii:办公室:bangongshi,boya-elementary-ii,,办公室,bangongshi,,,office,văn phòng,translated_subagent_draft
vocabulary,boya-elementary-ii:不见不散:bujianbusan,boya-elementary-ii,,不见不散,bu jian bu san,,,to not leave without seeing each other,không gặp không về; hẹn gặp nhất định,translated_subagent_draft
vocabulary,boya-elementary-ii:帮助:bangzhu,boya-elementary-ii,,帮助,bangzhu,,,to help,giúp đỡ; sự giúp đỡ,translated_subagent_draft
vocabulary,boya-elementary-ii:不管:bugudn,boya-elementary-ii,,不管,bugudn,,,no matter,bất kể; dù thế nào,translated_subagent_draft
vocabulary,boya-elementary-ii:包子:baozi,boya-elementary-ii,,包子,baozi,,,steamed stuffed bun,bánh bao nhân,translated_subagent_draft
vocabulary,boya-elementary-ii:饱:bdo,boya-elementary-ii,,饱,bdo,,,full,no,translated_subagent_draft
vocabulary,boya-elementary-ii:菜单:caidain,boya-elementary-ii,,菜单,caidain,,,menu,thực đơn,translated_subagent_draft
vocabulary,boya-elementary-ii:报:bao,boya-elementary-ii,,报,bao,,,newspaper,báo; tờ báo,translated_subagent_draft
vocabulary,boya-elementary-ii:参加:canjia,boya-elementary-ii,,参加,canjia,,,to join in; to take part in,tham gia,translated_subagent_draft
vocabulary,boya-elementary-ii:报名:bdoming,boya-elementary-ii,,报名,bdo ming,,,to sign up; to enroll,đăng ký,translated_subagent_draft
vocabulary,boya-elementary-ii:灿烂:canlan,boya-elementary-ii,,灿烂,canlan,,,brilliant; glorious,rực rỡ; tươi sáng,translated_subagent_draft
vocabulary,boya-elementary-ii:报名表:baomingbido,boya-elementary-ii,,报名表,baomingbido,,,application form,phiếu đăng ký,translated_subagent_draft
vocabulary,boya-elementary-ii:操场:caochang,boya-elementary-ii,,操场,caochang,,,playground,sân thể thao; sân trường,translated_subagent_draft
vocabulary,boya-elementary-ii:背:bei,boya-elementary-ii,,背,bei,,,to carry on the back,cõng; đeo trên lưng,translated_subagent_draft
vocabulary,boya-elementary-ii:层:ceng,boya-elementary-ii,,层,ceng,,,"measure word （for storey, floor）",tầng; lượng từ cho tầng nhà,translated_subagent_draft
vocabulary,boya-elementary-ii:北边:beibian,boya-elementary-ii,,北边,beibian,,,north,phía bắc,translated_subagent_draft
