vocabulary_key,textbook_id,volume,word,pinyin,part_of_speech,meaning_en_source,meaning_vi,meaning_vi_status,repeated_mark,lesson_numbers,lesson_titles,source_printed_pages,source_appendix_pdf_pages,source_section,source_status,source_notes
boya-elementary-i:红:hong,boya-elementary-i,初级起步篇 I,红,hong,形,red,đỏ,translated_subagent_draft,,3;13,拼音和日常用语（三）;你打算买什么样子,13,241,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:饺子:jiaozi,boya-elementary-i,初级起步篇 I,饺子,jiaozi,,dumplings,bánh chẻo,translated_subagent_draft,,4;16,你叫什么名字;来一斤饺子,16,241,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:红酒:hongjiu,boya-elementary-i,初级起步篇 I,红酒,hongjiu,名,wine,rượu vang,translated_subagent_draft,,4;17,你叫什么名字;喝茶还是喝咖啡,17,241,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:叫:jiao,boya-elementary-i,初级起步篇 I,叫,jiao,,,gọi; tên là,translated_subagent_draft,,1,拼音和日常用语（一）,4,241,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:后天:houtian,boya-elementary-i,初级起步篇 I,后天,houtian,名,the day after tomorrow,ngày kia,translated_subagent_draft,,4;20,你叫什么名字;我想请一天假,20,241,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:教室:jidoshi,boya-elementary-i,初级起步篇 I,教室,jidoshi,名,Classroom,phòng học,translated_subagent_draft,,2;6,拼音和日常用语（二）;这是什么,6,241,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:花儿:huar,boya-elementary-i,初级起步篇 I,花儿,huar,名,flower,hoa,translated_subagent_draft,,3;14,拼音和日常用语（三）;祝你生日快乐,14,241,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:接:jie,boya-elementary-i,初级起步篇 I,接,jie,动,to pick up,đón; nhận,translated_subagent_draft,,3;15,拼音和日常用语（三）;我可以试试吗,15,241,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:坏:huai,boya-elementary-i,初级起步篇 I,坏,huai,形,be broken or ruined,hỏng; xấu,translated_subagent_draft,,4;21,你叫什么名字;每个人要说多长时间,21,241,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:节:jie,boya-elementary-i,初级起步篇 I,节,jie,量,measure word （for class）,tiết (lượng từ cho buổi học),translated_subagent_draft,,4;23,你叫什么名字;假期有什么打算,23,241,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:欢迎:huanying,boya-elementary-i,初级起步篇 I,欢迎,huanying,动,to welcome,hoan nghênh; chào mừng,translated_subagent_draft,,2;7,拼音和日常用语（二）;欢迎去我家玩儿,7,241,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:节目:jiemi,boya-elementary-i,初级起步篇 I,节目,jiemi,名,program,chương trình; tiết mục,translated_subagent_draft,,5;25,认识你很高兴;准备好了吗,25,241,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:回:hui,boya-elementary-i,初级起步篇 I,回,hui,动,to reply,trả lời; hồi đáp,translated_subagent_draft,,4;19,你叫什么名字;你又熬夜了,19,241,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:结果:jieguo,boya-elementary-i,初级起步篇 I,结果,jieguo,名,result,kết quả,translated_subagent_draft,,5;25,认识你很高兴;准备好了吗,25,241,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:回来:huilai,boya-elementary-i,初级起步篇 I,回来,hui lai,,to ggo back,quay lại; trở về,translated_subagent_draft,,5;24,认识你很高兴;学得怎么样,24,241,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:结束:jieshu,boya-elementary-i,初级起步篇 I,结束,jieshu,动,to finish; to end,kết thúc,translated_subagent_draft,,5;24,认识你很高兴;学得怎么样,24,241,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:会:hui,boya-elementary-i,初级起步篇 I,会,hui,助动,"can, be able to",biết; có thể (kỹ năng),translated_subagent_draft,,4;17,你叫什么名字;喝茶还是喝咖啡,17,241,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:解决:jiejue,boya-elementary-i,初级起步篇 I,解决,jiejue,动,to solve; to resolve,giải quyết,translated_subagent_draft,,5;24,认识你很高兴;学得怎么样,24,241,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:活动:huodong,boya-elementary-i,初级起步篇 I,活动,huodong,名,activity,hoạt động,translated_subagent_draft,,4;22,你叫什么名字;明天你下了课去哪儿,22,241,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:介绍:jieshao,boya-elementary-i,初级起步篇 I,介绍,jieshao,动,to introduce,giới thiệu,translated_subagent_draft,,2;6,拼音和日常用语（二）;这是什么,6,241,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:火车:huoche,boya-elementary-i,初级起步篇 I,火车,huoche,名,train,tàu hỏa,translated_subagent_draft,,2;9,拼音和日常用语（二）;我们怎么去,9,241,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:斤:jin,boya-elementary-i,初级起步篇 I,斤,jin,量,half a kilogram,cân (nửa kilogram),translated_subagent_draft,,3;10,拼音和日常用语（三）;西瓜怎么卖,10,241,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:或者:huozhe,boya-elementary-i,初级起步篇 I,或者,huozhe,连,Or,hoặc,translated_subagent_draft,,4;23,你叫什么名字;假期有什么打算,23,241,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:今天:jintian,boya-elementary-i,初级起步篇 I,今天,Jintian,名,today,hôm nay,translated_subagent_draft,,2;8,拼音和日常用语（二）;明天晚上你有时间吗,8,241,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:进:jin,boya-elementary-i,初级起步篇 I,进,jin,动,to come in,vào,translated_subagent_draft,,4;17,你叫什么名字;喝茶还是喝咖啡,17,241,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:近:jin,boya-elementary-i,初级起步篇 I,近,jin,形,near,gần,translated_subagent_draft,,3;13,拼音和日常用语（三）;你打算买什么样子,13,241,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:机场:jichang,boya-elementary-i,初级起步篇 I,机场,jichang,名,airport,sân bay,translated_subagent_draft,,3;15,拼音和日常用语（三）;我可以试试吗,15,241,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:纠正:jiuzheng,boya-elementary-i,初级起步篇 I,纠正,jiuzheng,动,to correct,sửa; chỉnh sửa,translated_subagent_draft,,5;25,认识你很高兴;准备好了吗,25,241,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:鸡肉:jirou,boya-elementary-i,初级起步篇 I,鸡肉,jirou,名,Chicken,thịt gà,translated_subagent_draft,,4;16,你叫什么名字;来一斤饺子,16,241,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:久:jiu,boya-elementary-i,初级起步篇 I,久,jiǔ,形,for a long time,lâu,translated_subagent_draft,,4;19,你叫什么名字;你又熬夜了,19,241,词语总表,appendix_canonical_repaired_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。；补回附录缺失拼音 jiǔ
boya-elementary-i:就:jiu,boya-elementary-i,初级起步篇 I,就,jiù,,at once; right away,liền; ngay; thì,translated_subagent_draft,,2;7,拼音和日常用语（二）;欢迎去我家玩儿,7,242,词语总表,appendix_canonical_repaired_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。；补回附录缺失拼音 jiù
boya-elementary-i:快递:kudidi,boya-elementary-i,初级起步篇 I,快递,kudidi,名,express delivery,chuyển phát nhanh,translated_subagent_draft,,2;9,拼音和日常用语（二）;我们怎么去,9,242,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:聚餐:jucan,boya-elementary-i,初级起步篇 I,聚餐,ju can,,to dine together,ăn chung; liên hoan,translated_subagent_draft,,5;25,认识你很高兴;准备好了吗,25,242,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:快乐:kudile,boya-elementary-i,初级起步篇 I,快乐,kudile,形,happy,vui vẻ,translated_subagent_draft,,3;14,拼音和日常用语（三）;祝你生日快乐,14,242,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:聚会:juhui,boya-elementary-i,初级起步篇 I,聚会,juhui,名,to have a get-together or party,buổi tụ họp; tiệc,translated_subagent_draft,,4;22,你叫什么名字;明天你下了课去哪儿,22,242,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:困:kun,boya-elementary-i,初级起步篇 I,困,kun,形,sleepy,buồn ngủ,translated_subagent_draft,,4;19,你叫什么名字;你又熬夜了,19,242,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:决定:jueding,boya-elementary-i,初级起步篇 I,决定,jueding,动、名,to decide; decision,quyết định,translated_subagent_draft,,4;23,你叫什么名字;假期有什么打算,23,242,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:觉得:juede,boya-elementary-i,初级起步篇 I,觉得,juede,动,to teel,cảm thấy; nghĩ rằng,translated_subagent_draft,,4;19,你叫什么名字;你又熬夜了,19,242,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:来:lai,boya-elementary-i,初级起步篇 I,来,lai,动,to come; to indicate someone will do something,đến; dùng để chỉ việc sắp làm,translated_subagent_draft,,2;6,拼音和日常用语（二）;这是什么,6,242,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:蓝:lan,boya-elementary-i,初级起步篇 I,蓝,lan,形,blue,xanh lam,translated_subagent_draft,,3;13,拼音和日常用语（三）;你打算买什么样子,13,242,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:咖啡:kafei,boya-elementary-i,初级起步篇 I,咖啡,kafei,名,coffee,cà phê,translated_subagent_draft,,3;10,拼音和日常用语（三）;西瓜怎么卖,10,242,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:篮球:lanqid,boya-elementary-i,初级起步篇 I,篮球,lanqid,名,basketball,bóng rổ,translated_subagent_draft,,4;22,你叫什么名字;明天你下了课去哪儿,22,242,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:卡拉OK:kalaok,boya-elementary-i,初级起步篇 I,卡拉OK,kala OK,,karaoke,karaoke,translated_subagent_draft,,3;14,拼音和日常用语（三）;祝你生日快乐,14,242,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:老家:idojia,boya-elementary-i,初级起步篇 I,老家,Idojia,名,hometown,quê nhà,translated_subagent_draft,,4;23,你叫什么名字;假期有什么打算,23,242,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:开:kai,boya-elementary-i,初级起步篇 I,开,kai,动,leave...）,mở; rời đi,translated_subagent_draft,,4;20,你叫什么名字;我想请一天假,20,242,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:老师:laoshi,boya-elementary-i,初级起步篇 I,老师,laoshi,名,teacher,giáo viên,translated_subagent_draft,,1;4,拼音和日常用语（一）;你叫什么名字,4,242,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:开始:kaishi,boya-elementary-i,初级起步篇 I,开始,kaishi,动,to begin; to start,bắt đầu,translated_subagent_draft,,3;12,拼音和日常用语（三）;我正在等公共汽车呢,12,242,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:了:le,boya-elementary-i,初级起步篇 I,了,le,助,particle,trợ từ chỉ sự hoàn tất hoặc sự thay đổi,translated_subagent_draft,,4;18,你叫什么名字;今天我七点半就起床了,18,242,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:开玩笑:kaiwanxido,boya-elementary-i,初级起步篇 I,开玩笑,kai wanxido,,"to crack a joke, to make fun of",nói đùa; trêu,translated_subagent_draft,,4;22,你叫什么名字;明天你下了课去哪儿,22,242,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:累:lei,boya-elementary-i,初级起步篇 I,累,lei,形,tired,mệt,translated_subagent_draft,,5;24,认识你很高兴;学得怎么样,24,242,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:开心:kaixin,boya-elementary-i,初级起步篇 I,开心,kaixin,形,happy,vui vẻ,translated_subagent_draft,,5;24,认识你很高兴;学得怎么样,24,242,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:冷:leng,boya-elementary-i,初级起步篇 I,冷,leng,形,cold,lạnh,translated_subagent_draft,,3;11,拼音和日常用语（三）;明天天气怎么样,11,242,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:开学:kaixue,boya-elementary-i,初级起步篇 I,开学,kai xue,,term begins,bắt đầu học kỳ,translated_subagent_draft,,4;22,你叫什么名字;明天你下了课去哪儿,22,242,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:离:ii,boya-elementary-i,初级起步篇 I,离,Ii,,,cách; rời khỏi,translated_subagent_draft,,4,你叫什么名字,16,242,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:看:kan,boya-elementary-i,初级起步篇 I,看,kan,动,to look; to watch,nhìn; xem,translated_subagent_draft,,3;12,拼音和日常用语（三）;我正在等公共汽车呢,12,242,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:礼物:iiwu,boya-elementary-i,初级起步篇 I,礼物,Iiwu,名,gift,quà,translated_subagent_draft,,3;14,拼音和日常用语（三）;祝你生日快乐,14,242,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:看起来:kanqilai,boya-elementary-i,初级起步篇 I,看起来,kan qilai,,it seems that; it looks like,trông có vẻ,translated_subagent_draft,,4;17,你叫什么名字;喝茶还是喝咖啡,17,242,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:里（边）:libian,boya-elementary-i,初级起步篇 I,里（边）,lǐ (bian),名,inside,bên trong,translated_subagent_draft,,2;7,拼音和日常用语（二）;欢迎去我家玩儿,7,242,词语总表,appendix_canonical_repaired_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。；拼音 OCR 修为 lǐ (bian)
boya-elementary-i:考虑:kdolii,boya-elementary-i,初级起步篇 I,考虑,kdolii,动,to consider,cân nhắc; xem xét,translated_subagent_draft,,4;23,你叫什么名字;假期有什么打算,23,242,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:历史:lishr,boya-elementary-i,初级起步篇 I,历史,lishr,名,history,lịch sử,translated_subagent_draft,,4;23,你叫什么名字;假期有什么打算,23,242,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:考试:kaoshi,boya-elementary-i,初级起步篇 I,考试,kaoshi,,to examine,thi; kỳ thi,translated_subagent_draft,,4;20,你叫什么名字;我想请一天假,20,242,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:厉害:lihai,boya-elementary-i,初级起步篇 I,厉害,lihai,形,severe; Sharp; fierce； powertul,lợi hại; nghiêm trọng; giỏi,translated_subagent_draft,,4;19,你叫什么名字;你又熬夜了,19,242,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:烤鸭:kdoya,boya-elementary-i,初级起步篇 I,烤鸭,kdoya,名,roast duck,vịt quay,translated_subagent_draft,,5;25,认识你很高兴;准备好了吗,25,242,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:练习:lianxi,boya-elementary-i,初级起步篇 I,练习,lianxi,动、名,"to practice, exercise",luyện tập; bài tập,translated_subagent_draft,,5;24,认识你很高兴;学得怎么样,24,242,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:咳嗽:kesou,boya-elementary-i,初级起步篇 I,咳嗽,kesou,动,to cough,ho,translated_subagent_draft,,4;20,你叫什么名字;我想请一天假,20,242,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:可乐:kele,boya-elementary-i,初级起步篇 I,可乐,kele,名,cola,nước cola,translated_subagent_draft,,3;10,拼音和日常用语（三）;西瓜怎么卖,10,242,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:两:lidng,boya-elementary-i,初级起步篇 I,两,lidng,数,tWO,hai (đứng trước lượng từ),translated_subagent_draft,,2;8;16,拼音和日常用语（二）;明天晚上你有时间吗;来一斤饺子,8;16,242,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:可能:keneng,boya-elementary-i,初级起步篇 I,可能,keneng,助动,maybe,có thể; có lẽ,translated_subagent_draft,,4;23,你叫什么名字;假期有什么打算,23,242,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:可是:keshi,boya-elementary-i,初级起步篇 I,可是,keshi,连,but; however,nhưng; tuy nhiên,translated_subagent_draft,,4;18,你叫什么名字;今天我七点半就起床了,18,242,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:辆:liang,boya-elementary-i,初级起步篇 I,辆,liang,量,measure word （ for vehicles）,chiếc (lượng từ cho xe),translated_subagent_draft,,4;21,你叫什么名字;每个人要说多长时间,21,242,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:可以:keyi,boya-elementary-i,初级起步篇 I,可以,keyi,助动,be able to; can,có thể; được phép,translated_subagent_draft,,3;15,拼音和日常用语（三）;我可以试试吗,15,242,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:聊天儿:lidotianr,boya-elementary-i,初级起步篇 I,聊天儿,lido tianr,,to chat,trò chuyện,translated_subagent_draft,,4;22,你叫什么名字;明天你下了课去哪儿,22,242,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:刻:ke,boya-elementary-i,初级起步篇 I,刻,ke,量,a quarter （of an hour）,một phần tư giờ,translated_subagent_draft,,2;8,拼音和日常用语（二）;明天晚上你有时间吗,8,242,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:零下:iingxid,boya-elementary-i,初级起步篇 I,零下,Iingxid,名,below zero,dưới 0 độ,translated_subagent_draft,,3;11,拼音和日常用语（三）;明天天气怎么样,11,242,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:课:ke,boya-elementary-i,初级起步篇 I,课,ke,,,bài học; tiết học,translated_subagent_draft,,2,拼音和日常用语（二）,8,242,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:留学生:liuxuesheng,boya-elementary-i,初级起步篇 I,留学生,liuxuesheng,名,foreign student used at the end of a declarative,du học sinh,translated_subagent_draft,,1;4,拼音和日常用语（一）;你叫什么名字,4,242,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:课间:kejian,boya-elementary-i,初级起步篇 I,课间,kejian,名,class break,giờ ra chơi,translated_subagent_draft,,4;20,你叫什么名字;我想请一天假,20,242,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:六:iiu,boya-elementary-i,初级起步篇 I,六,Iiu,,,sáu,translated_subagent_draft,,2,拼音和日常用语（二）,8,242,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:口语:kouy,boya-elementary-i,初级起步篇 I,口语,kouy,名,spoken language because,khẩu ngữ; tiếng nói,translated_subagent_draft,,4;21,你叫什么名字;每个人要说多长时间,21,242,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:楼:iou,boya-elementary-i,初级起步篇 I,楼,IOu,名,building,tầng; tòa nhà,translated_subagent_draft,,2;9,拼音和日常用语（二）;我们怎么去,9,242,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:块（元）:kuaiyuan,boya-elementary-i,初级起步篇 I,块（元）,kuai (yuan),量,Chinese basic monetary unit,đồng (đơn vị tiền Trung Quốc),translated_subagent_draft,,3;10,拼音和日常用语（三）;西瓜怎么卖,10,242,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:路口:lkou,boya-elementary-i,初级起步篇 I,路口,lkou,名,crossing; intersection,ngã tư; giao lộ,translated_subagent_draft,,4;17,你叫什么名字;喝茶还是喝咖啡,17,242,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:快……了:kuaile,boya-elementary-i,初级起步篇 I,快……了,kuài……le,,be about to do,sắp; gần đến lúc,translated_subagent_draft,,4;22,你叫什么名字;明天你下了课去哪儿,22,242,词语总表,appendix_canonical_repaired_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。；拼音 OCR 修为 kuài……le
boya-elementary-i:路上:lushang,boya-elementary-i,初级起步篇 I,路上,lushang,名,on the way,trên đường,translated_subagent_draft,,4;19,你叫什么名字;你又熬夜了,19,242,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:旅行:luxing,boya-elementary-i,初级起步篇 I,旅行,luxing,动,to travel,du lịch,translated_subagent_draft,,4;23,你叫什么名字;假期有什么打算,23,243,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:能:neng,boya-elementary-i,初级起步篇 I,能,neng,助动,can; be able to,có thể,translated_subagent_draft,,4;20,你叫什么名字;我想请一天假,20,243,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
