chinese_simplified,pinyin_variants,lesson_record_count,lessons,record_ids,textbook_pages,marked_in_any_lesson,part_of_speech,meaning_chinese_from_source,review_statuses,source_file_count
繁重,fánzhòng,1,第4课 地球人的担忧,V04-005,46,False,,,pending_text_fidelity_review,1
纠纷,jiūfēn,1,第8课 学汉语的苦恼,V08-012,111,False,,,pending_text_fidelity_review,1
纪录,jìlù,1,第6课 挑战,V06-010,79,True,,,visually_confirmed,1
细雨绵绵,xìyǔ-miánmián,1,第4课 地球人的担忧,V04-011,46,False,,,pending_text_fidelity_review,1
结交,jiéjiāo,1,第2课 真正的朋友,V02-034,25,False,,,visually_confirmed,1
绿地,lǜdì,1,第3课 宜居之地,V03-006,32,False,,,pending_text_fidelity_review,1
置身于,zhìshēn yú,1,第5课 音乐的魅力,V05-012,63,False,,,visually_confirmed,1
翻滚,fāngǔn,1,第3课 宜居之地,V03-025,33,False,,,pending_text_fidelity_review,1
老公,lǎogōng,1,第5课 音乐的魅力,V05-046,72,False,,,visually_confirmed,1
老好人,lǎohǎorén,1,第7课 我的同事,V07-029,104,False,,,pending_review,1
胜地,shèngdì,1,第3课 宜居之地,V03-020,33,False,,,pending_text_fidelity_review,1
能源,néngyuán,1,第4课 地球人的担忧,V04-054,55,False,,,pending_text_fidelity_review,1
自古,zìgǔ,1,第1课 中国人的姓名,V01-033,10,False,,,pending_review,1
自豪,zìháo,1,第7课 我的同事,V07-017,97,True,,,pending_review,1
舞姿,wǔzī,1,第6课 挑战,V06-051,88,False,,,visually_confirmed,1
舞蹈,wǔdǎo,1,第6课 挑战,V06-034,88,True,,,visually_confirmed,1
节奏,jiézòu,1,第2课 真正的朋友,V02-015,18,True,,,visually_confirmed,1
苦恼,kǔnǎo,1,第8课 学汉语的苦恼,V08-001,111,False,,,pending_text_fidelity_review,1
茂密,màomì,1,第4课 地球人的担忧,V04-050,55,False,,,pending_text_fidelity_review,1
莫名其妙,mòmíngqímiào,1,第1课 中国人的姓名,V01-010,1,True,,,pending_review,1
菜肴,càiyáo,1,第7课 我的同事,V07-006,96,True,,,pending_review,1
落难,luònàn,1,第2课 真正的朋友,V02-037,25,False,,,visually_confirmed,1
蛙鸣,wāmíng,1,第5课 音乐的魅力,V05-028,64,True,,,visually_confirmed,1
蛮,mán,1,第2课 真正的朋友,V02-007,17,False,,,visually_confirmed,1
蝉,chán,1,第5课 音乐的魅力,V05-027,64,True,,,visually_confirmed,1
行为,xíngwéi,1,第8课 学汉语的苦恼,V08-014,112,False,,,pending_text_fidelity_review,1
装修,zhuāngxiū,1,第3课 宜居之地,V03-040,40,False,,,pending_text_fidelity_review,1
见死不救,jiànsǐ-bùjiù,1,第2课 真正的朋友,V02-029,25,False,,,visually_confirmed,1
观测,guāncè,1,第4课 地球人的担忧,V04-006,46,False,,,pending_text_fidelity_review,1
观看,guānkàn,1,第6课 挑战,V06-036,88,False,,,visually_confirmed,1
观赏,guānshǎng,1,第3课 宜居之地,V03-007,32,True,,,pending_text_fidelity_review,1
观音,Guānyīn,1,第6课 挑战,V06-028,87,False,,,visually_confirmed,1
视野,shìyě,1,第4课 地球人的担忧,V04-010,46,False,,,pending_text_fidelity_review,1
警告,jǐnggào,1,第1课 中国人的姓名,V01-002,1,True,,,pending_review,1
设施,shèshī,1,第3课 宜居之地,V03-034,40,True,,,pending_text_fidelity_review,1
证实,zhèngshí,1,第7课 我的同事,V07-037,105,False,,,pending_review,1
评价,píngjià,1,第5课 音乐的魅力,V05-035,71,False,,,visually_confirmed,1
话里话外,huàlǐ-huàwài,1,第5课 音乐的魅力,V05-041,71,False,,,visually_confirmed,1
说不定,shuōbùdìng,1,第5课 音乐的魅力,V05-039,71,False,,,visually_confirmed,1
谈吐,tántǔ,1,第7课 我的同事,V07-019,97,True,,,pending_review,1
谈虎色变,tán hǔ sè biàn,1,第4课 地球人的担忧,V04-042,55,False,,,pending_text_fidelity_review,1
谴责,qiǎnzé,1,第8课 学汉语的苦恼,V08-034,120,False,,,pending_text_fidelity_review,1
豪情满怀,háoqíng-mǎnhuái,1,第6课 挑战,V06-043,88,False,,,visually_confirmed,1
财富,cáifù,1,第4课 地球人的担忧,V04-019,47,False,,,pending_text_fidelity_review,1
费尽心机,fèijìn-xīnjī,1,第1课 中国人的姓名,V01-009,1,True,,,pending_review,1
赚钱,zhuàn qián,1,第7课 我的同事,V07-011,96,True,,,pending_review,1
赞叹不已,zàntàn-bùyǐ,1,第7课 我的同事,V07-009,96,False,,,pending_review,1
赞美,zànměi,1,第5课 音乐的魅力,V05-034,71,False,,,visually_confirmed,1
起名儿,qǐ míngr,1,第1课 中国人的姓名,V01-001,1,False,,,pending_review,1
超市,chāoshì,1,第8课 学汉语的苦恼,V08-013,112,False,,,pending_text_fidelity_review,1
超级,chāojí,1,第6课 挑战,V06-022,80,False,,,visually_confirmed,1
超越,chāoyuè,1,第6课 挑战,V06-012,79,True,,,visually_confirmed,1
趋利避害,qūlì-bìhài,1,第4课 地球人的担忧,V04-045,55,False,,,pending_text_fidelity_review,1
趣味,qùwèi,1,第2课 真正的朋友,V02-036,25,True,,,visually_confirmed,1
足够,zúgòu,1,第2课 真正的朋友,V02-022,18,False,,,visually_confirmed,1
踏实,tāshi,1,第3课 宜居之地,V03-035,40,False,,,pending_text_fidelity_review,1
身材,shēncái,1,第6课 挑战,V06-005,79,False,,,visually_confirmed,1
车如流水,chērú-liúshuǐ,1,第3课 宜居之地,V03-028,33,True,,,pending_text_fidelity_review,1
转眼,zhuǎnyǎn,1,第2课 真正的朋友,V02-013,18,False,,,visually_confirmed,1
转瞬即逝,zhuǎnshùn-jíshì,1,第5课 音乐的魅力,V05-017,64,False,,,visually_confirmed,1
轻缓,qīnghuǎn,1,第5课 音乐的魅力,V05-008,63,True,,,visually_confirmed,1
辐射,fúshè,1,第4课 地球人的担忧,V04-063,56,False,,,pending_text_fidelity_review,1
辞职,cízhí,1,第7课 我的同事,V07-035,104,False,,,pending_review,1
辩论,biànlùn,1,第4课 地球人的担忧,V04-025,47,False,,,pending_text_fidelity_review,1
运行,yùnxíng,1,第4课 地球人的担忧,V04-066,56,False,,,pending_text_fidelity_review,1
迷,mí,1,第2课 真正的朋友,V02-017,18,False,,,visually_confirmed,1
退休,tuìxiū,1,第3课 宜居之地,V03-036,40,False,,,pending_text_fidelity_review,1
逢,féng,1,第3课 宜居之地,V03-041,40,False,,,pending_text_fidelity_review,1
遍地,biàndì,1,第7课 我的同事,V07-018,97,False,,,pending_review,1
遗产,yíchǎn,1,第4课 地球人的担忧,V04-017,47,False,,,pending_text_fidelity_review,1
酒吧,jiǔbā,1,第5课 音乐的魅力,V05-031,71,False,,,visually_confirmed,1
酒店,jiǔdiàn,1,第3课 宜居之地,V03-022,33,False,,,pending_text_fidelity_review,1
酱油,jiàngyóu,1,第8课 学汉语的苦恼,V08-021,112,False,,,pending_text_fidelity_review,1
锁,suǒ,1,第5课 音乐的魅力,V05-047,72,False,,,visually_confirmed,1
闲聊,xiánliáo,1,第7课 我的同事,V07-049,105,False,,,pending_review,1
闹笑话,nào xiàohuà,1,第8课 学汉语的苦恼,V08-032,120,False,,,pending_text_fidelity_review,1
限度,xiàndù,1,第4课 地球人的担忧,V04-068,56,False,,,pending_text_fidelity_review,1
陶醉,táozuì,1,第6课 挑战,V06-006,79,False,,,visually_confirmed,1
隐私,yǐnsī,1,第7课 我的同事,V07-014,97,True,,,pending_review,1
难为情,nánwéiqíng,1,第8课 学汉语的苦恼,V08-041,120,False,,,pending_text_fidelity_review,1
难得,nándé,1,第2课 真正的朋友,V02-012,18,True,,,visually_confirmed,1
雄壮,xióngzhuàng,1,第5课 音乐的魅力,V05-006,63,True,,,visually_confirmed,1
雾霾,wùmái,1,第3课 宜居之地,V03-038,40,False,,,pending_text_fidelity_review,1
青春,qīngchūn,1,第6课 挑战,V06-032,88,False,,,visually_confirmed,1
顶天立地,dǐngtiān-lìdì,1,第5课 音乐的魅力,V05-043,71,False,,,visually_confirmed,1
项目,xiàngmù,1,第6课 挑战,V06-014,80,True,,,visually_confirmed,1
顺境,shùnjìng,1,第2课 真正的朋友,V02-040,26,False,,,visually_confirmed,1
风格,fēnggé,1,第5课 音乐的魅力,V05-042,71,True,,,visually_confirmed,1
风险,fēngxiǎn,1,第4课 地球人的担忧,V04-049,55,False,,,pending_text_fidelity_review,1
饭馆儿,fànguǎnr,1,第8课 学汉语的苦恼,V08-025,112,False,,,pending_text_fidelity_review,1
饮水器,yǐnshuǐqì,1,第7课 我的同事,V07-040,105,False,,,pending_review,1
首选,shǒuxuǎn,1,第2课 真正的朋友,V02-024,25,False,,,visually_confirmed,1
马马虎虎,mǎmǎhūhū,1,第8课 学汉语的苦恼,V08-009,111,False,,,pending_text_fidelity_review,1
高尚,gāoshàng,1,第2课 真正的朋友,V02-026,25,True,,,visually_confirmed,1
高楼林立,gāolóu-línlì,1,第3课 宜居之地,V03-011,32,True,,,pending_text_fidelity_review,1
魅力,mèilì,1,第5课 音乐的魅力,V05-001,63,True,,,visually_confirmed,1
黄昏,huánghūn,1,第4课 地球人的担忧,V04-020,47,False,,,pending_text_fidelity_review,1
默默,mò mò,1,第7课 我的同事,V07-034,104,False,,,pending_review,1
（爱好）者,（àihào）zhě,1,第2课 真正的朋友,V02-019,18,False,,,visually_confirmed,1
